Longeur du texte	replace_all_GPT	 replace_all      k
25391	            0.00192704	     0.00193242	     -10
50783	            0.00203083	     0.00257096	     -9
101207	            0.00257879	     0.00257275	     -8
202526	            0.00540392	     0.00529446	     -7
404792	            0.0173859	     0.0173018	     -6
809051	            0.0633695	     0.0633387	     -5
1617289	            0.246024	     0.246031	     -4
3233646	            0.970637	     0.970479	     -3
6469755	            4.0794	         3.89552	     -2
12933256	        15.6905	         15.8919	     -1
